task_id	intent	query_num	query	tsatisfaction	qsatisfaction	evaluation
1	在学校看到了很多绽开的迎春花，想在网上查找一些关于迎春花的图片。	1	迎春花	4	4	AFG
2	近期打算去庐山旅行，想浏览一下庐山的照片，顺便看一下地理位置。	5	庐山;江西庐山地图;江西庐山地图;江西庐山地图;庐山瀑布	4	4;3;3;3;4	AFG
3	由于实验需要购买比色皿槽，了解一下紫外分光光度计的结构和比色皿的规格。	6	紫外可见分光光度计 比色皿;紫外可见分光光度计 比色皿槽;紫外可见分光光度计 比色皿架;紫外可见分光光度计 结构;长光程比色皿架;长光程比色皿架	3	4;4;4;4;4;4	AH
4	最近正在计划五一的出行，所以搜索了一下湖南的旅游景点分布。	6	庐山;庐山;庐山;湖南地图;湖南旅游地图;湖南旅游景点分布	3	4;4;4;3;2;2	AEF
5	实验需要使用恒温箱，了解一下它的结构和外形。	4	微型恒温箱;微型控温箱;微型恒温箱;恒温箱	3	3;2;2;2	AEH
6	查看一下长沙的行政区划图，准备五一出行。	5	长沙行政区划;长沙行政区划图;长沙市行政区划图;长沙市行政区;长沙市地图	2	1;2;2;2;2	AEF
7	准备查找下一个旅游地点，在惠州和扬州之间进行选择，所以看一下图片。	3	惠州旅游;惠州西湖;扬州	5	5;5;5	ACF
8	想了解一下扬州的风景情况。	1	扬州	4	4	AFG
9	想看一下日本公主的照片	1	日本公主	4	4	ABF
10	想看一下日本佳子公主的照片	2	日本公主佳子;日本公主佳子	4	4;4	AEF
11	想查找一下珠海机场到火车站的地图。	3	珠海地图;珠海地图 机场;珠海交通地图	4	3;3;4	AEH
12	想查找一张谭松韵比较好看的照片。	3	耿耿;耿耿;耿耿	4	5;4;4	AEF
13	查找剧照	2	迷途的羔羊;迷途的羔羊 剧照	1	1;2	AEF
14	查看一下宋茜的写真照片	2	宋茜;宋茜 写真	5	5;4	AEF
15	今天下午由于课程需要在教室查找资料	1	雄安新区地图全图	2	2	AE
16	调研之前希望找到行政区划图，进行改绘并带到现场作为调研标注材料	2	白洋淀行政区位图;白洋淀村镇地图	1	1;1	AE
17	做一个儿童店面的设计，希望找一些图片作为家具设计的参考	3	儿童柜子;儿童柜子;小房子装饰柜	3	4;5;2	ABG
18	恰好看到清明节的百度壁纸 所以打开看了看相关的图片	3	清明节;清明节;清明节习俗	4	4;4;4	BG
19	刚从白洋淀调研回来，所以找一下纪念馆照片资料	1	白洋淀抗日纪念馆	4	4	AB
20	做PPT需要查找图片，关于传统农业、现代农业和原始农业的代表图片	3	现代农业;传统农业;原始农业	5	5;5;3	AEG
21	做PPT需要能说明分层鱼类养殖技术原理的示意图	7	立体养鱼;生态养鱼示意图;立体养鱼示意图;分层养鱼示意图;分层养殖示意图;立体型水面混养模式;立体型水面混养模式	2	2;2;2;2;2;3;2	ABG
22	做PPT需要用到展示陆地上分层种养的生态农业模式的图片	1	立体种养	4	4	ABG
23	因为上课需要 寻找雄安新区规划范围边界示意图	2	雄安新区2000公里;雄安新区2000公里范围	2	2;2	AH
24	做小学改造设计 需要做室外设计找参考图	3	轮胎公园;轮胎利用;轮胎景观	5	5;1;5	ABG
25	做儿童教室设计改造 需要照片墙参考资料	3	照片墙;照片墙;麻绳装饰墙	4	4;2;5	ABG
26	因为家里在关注比亚迪电动车 所以想看下一代二代的对比和区别	3	比亚迪秦二代;比亚迪秦二代对比;比亚迪秦一二代对比	3	4;2;2	AH
27	做小学改造设计的时候 以前看到北大废弃物花园的案例 希望找出来参考	4	北京大学 自行车景观;北京大学自行车花园;北大花园;北京大学 自行车花园	1	2;2;2;1	AH
28	在做轮胎花园设计以及一些细节设计的时候希望找一些案例图片作为参考	5	河南轮胎创意;废弃物景观;微型城市;废物打造微型城市;废弃物玩具	5	5;5;2;2;2	ABG
29	做PPT需要一个有两个正反对称山峰的抽象示意图，所以希望在网上找到	5	正负波峰波谷;波峰波谷;正负峰;线形山峰;抽象山峰	1	1;1;1;1;1	AG
30	做这里的码头设计，设计前期调研需要查找公园现状照片	3	求仙入海处;秦皇求仙入海处;求仙入海处	4	5;4;4	AB
31	码头设计用到了廊桥 希望找一些古建筑照片进行参考 或者找到“复道行空”这样图景的意向图（不知为什么照片搜索结果没有被记录下来）	3	古风廊桥;廊桥;复道行空	4	4;4;1	AB
32	在研究国家公园定位的时候需要对云南普达措地区有一个直观地理解	1	云南香格里拉普达措	4	4	AB
33	因为要对一处秦汉风格的景点进行景观设计，所以我需要查询一些带有秦汉元素的码头、栈桥等设计案例来作为参考	10	古风码头案例;古码头案例;柳州市窑埠古渡码头;古码头案例;秦港;古码头;码头设计;栈桥设计;秦码头;仿古栈桥设计	4	3;3;4;1;1;4;4;2;3;3	ABG
34	需要找到比较清晰的波士顿翡翠公园的图纸，作为案例参考。	4	翡翠项链;森林翡翠项链;翡翠项链体系;波士顿公园体系	3	2;2;4;5	AE
35	对上海后滩公园进行案例研究需要相关图片	2	后滩公园;后滩公园俞孔坚	4	4;5	ABE
36	下午在朋友圈看到一个很好看的戴阿米蓝色彩墨，想知道是什么名字，并且保存一张试色图	3	戴阿米蓝色;戴阿米蓝色试色图;戴阿米蓝色	3	2;4;2	ACF
37	假期准备买一台新电脑，主要倾向surface系列，想直观了解一下大小、厚度、接口布局之类的情况	6	surface laptop;surface book;surface pro;surface laptop;surface book2;surface book2 键盘	5	4;5;4;4;5;3	ABF
38	想换一个电脑壁纸，觉得飞机引擎很有现代感，想找一个高清的引擎特写做桌面	4	飞机壁纸;飞机引擎;飞机引擎高清;飞机引擎壁纸	3	3;1;1;1	EFG
39	准备换电脑，希望要一个可以触控的电脑，考虑联想yoga730这一款，想直观了解一点整机形态、大小对比和接口布局之类的细节	1	yoga7300	5	5	AB
40	桌面之前的壁纸是飞机相关的，有一段时间没有更换了，想换一个类似风格的	1	飞机壁纸	2	3	EFG
41	想换电脑壁纸，但是飞机图片没有找到合适的，想找最近正在看的美剧的剧照做壁纸	1	criminal minds十三季	2	2	EFG
42	做推送，想用微信上常见的一个王力宏的“笑容渐渐变态”表情包，希望找到一个清晰一点的	6	笑容突然变态表情;笑容开始变态表情包;笑容渐渐凝固表情包;笑容逐渐失控表情包;笑容渐渐变态王力宏;笑容渐渐变态王力宏表情包	2	3;3;2;3;1;1	AEF
43	推送要用到近期比较火的“—长点心吧 —什么点心”表情包，想找到这张图	5	长点心;长点心吧表情包;长点心什么点心表情包;什么点心;什么点心表情包	3	2;3;3;2;3	AE
44	做一个有关学习复习的吐槽性质推送，需要大量相关表情包	1	学习表情包	5	5	ABF
45	最近重度卡西欧gshock手表，想省吃俭用买几块不同型号的款式。选了几个近期看好的型号看一些美图种种草，对比一下颜色和上手感觉	11	ga180;ga180卡西欧;卡西欧dw600;卡西欧gw6900;卡西欧g9000;卡西欧g9000红色;zhongwen;卡西欧ga100;卡西欧gw;卡西欧gw5600黑金;卡西欧gw″600	4	2;2;3;4;3;3;1;5;4;5;2	ACG
46	看中卡西欧5600型号两款表，想对比一下哪一个更好看。顺便看看还有没有更好的型号和配色	3	dw5600;dw5600hr;glx5600	4	5;2;5	AB
47	小时候的好朋友今年高考，想去华中科技大学，我想看一下校园情况和条件	8	华中科技大学;华中科技大学全景;华中科技大学经济学院;华中科技大学校徽;华中科技大学学生证;华中科技大学学生卡;华中科技大学校园卡;华中科技大学校园卡	3	4;2;1;4;4;4;5;5	ABE
